Plate,Well position,Band intensity ,p/uL,Ct
1,A1,0,18.385,34.206
1,A2,1,234.137,29.000
1,A3,0,0.958,40.250
1,A4,0,0,Undetermined
1,A5,0,0,Undetermined
1,A6,1,0,Undetermined
1,A7,0,45.201,32.365
1,A8,0,1.901,38.848
1,A9,0,14.624,34.674
1,A10,0,74.743,31.336
1,A11,0,83.932,31.099
1,A12,3,"7,892.88",21.803
1,B1,0,58.618,31.834
1,B2,1,10.978,35.261
1,B3,3,763.63,26.581
1,B4,0,43.77,32.431
1,B5,0,0,Undetermined
1,B6,0,5.62,36.631
1,B7,2,665.412,26.863
1,B8,0,2.856,38.016
1,B9,0,0,Undetermined
1,B10,0,17.849,34.266
1,B11,0.5,44.371,32.403
1,B12,1,150.997,29.898
1,C1,0,0,Undetermined
1,C2,0,0,Undetermined
1,C3,0,2.351,38.414
1,C4,0,148.708,29.929
1,C5,0,12.415,35.009
1,C6,0,0,Undetermined
1,C7,0,0,Undetermined
1,C8,0,0,Undetermined
1,C9,0,0,Undetermined
1,C10,0,126.195,30.265
1,C11,0,12.857,34.938
1,C12,0,12.413,35.010
1,D1,0,6.335,36.386
1,D2,0.5,28.521,33.308
1,D3,3,"3,289.27",23.594
1,D4,0,0,Undetermined
1,D5,0,0,Undetermined
1,D6,0,0,Undetermined
1,D7,0,0,Undetermined
1,D8,0,0,Undetermined
1,D9,0,0,Undetermined
1,D10,0,5.201,36.789
1,D11,0,14.708,34.662
1,D12,0,71.228,31.435
1,E1,0,1.895,Undetermined
1,E2,0,23.457,36.236
1,E3,2,24.612,29.178
1,E4,2,253.475,28.708
1,E5,0,50.968,Undetermined
1,E6,1,17.083,38.546
1,E7,0,0.989,Undetermined
1,E8,0,3.388,Undetermined
1,E9,0,24.938,Undetermined
1,E10,0,3.134,33.720
1,E11,0.5,48.802,32.640
1,E12,0,16.099,37.613
1,F1,1,1.895,38.856
1,F2,1,23.457,33.708
1,F3,0,24.612,33.609
1,F4,2,253.475,28.838
1,F5,1,50.968,32.120
1,F6,1,17.083,34.356
1,F7,0,0.989,40.186
1,F8,0,3.388,37.666
1,F9,0,24.938,33.582
1,F10,0,3.134,37.826
1,F11,1,48.802,32.209
1,F12,1,16.099,34.478
1,G1,2,50.93,32.121
1,G2,2,169.632,29.660
1,G3,0,6.45,36.349
1,G4,0,9.991,35.454
1,G5,0.5,34.209,32.936
1,G6,0,30.274,33.186
1,G7,0.5,5.781,36.573
1,G8,0.5,4.08,37.286
1,G9,0,0,Undetermined
1,G10,0,3.984,37.335
1,G11,0,0,Undetermined
1,G12,0,0,Undetermined
1,H1,3,"1,396.17",25.347
1,H2,0,0,Undetermined
1,H3,0,104.292,30.655
1,H4,2,526.512,27.342
1,H5,0,209.871,29.224
1,H6,0,19.654,34.069
2,A1,0,0,Undetermined
2,A2,0,2.278,38.479
2,A3,3,"3,616.38",23.400
2,A4,0,342.098,28.224
2,A5,0,9.606,35.534
2,A6,0,0,Undetermined
2,A7,0,0,Undetermined
2,A8,0,0,Undetermined
2,A9,1,238.347,28.964
2,A10,0,25.553,33.532
2,A11,0,0,Undetermined
2,A12,2,254.012,28.834
2,B1,0,0,Undetermined
2,B2,0,0,Undetermined
2,B3,0,24.071,33.655
2,B4,0,109,30.565
2,B5,0,53.085,32.036
2,B6,0,8.778,35.719
2,B7,0,0,Undetermined
2,B8,0,0,Undetermined
2,B9,0,606.071,27.054
2,B10,0,0,Undetermined
2,B11,0,5.194,36.792
2,B12,1,18.609,34.181
2,C1,1,410.985,27.849
2,C2,0,0,Undetermined
2,C3,0,0,Undetermined
2,C4,0,532.788,27.318
2,C5,2,"5,622.05",22.497
2,C6,0,4.931,36.899
2,C7,1,495.796,27.465
2,C8,0,0,Undetermined
2,C9,0,0,Undetermined
2,C10,0,0,Undetermined
2,C11,3,"21,327.48",19.769
2,C12,0.5,8.216,35.854
2,D1,0,7.064,36.163
2,D2,0,0,Undetermined
2,D3,0,2.774,38.076
2,D4,0,0,Undetermined
2,D5,0,0.768,40.702
2,D6,0,0,Undetermined
2,D7,0.5,0,Undetermined
2,D8,0,0,Undetermined
2,D9,0,0,Undetermined
2,D10,0,0,Undetermined
2,D11,0,2.035,38.710
2,D12,0,8.588,35.763
2,E1,0,18.177,34.229
2,E2,0,9.567,35.543
2,E3,0,3.605,37.539
2,E4,0,0,Undetermined
2,E5,2,"1,285.91",25.515
2,E6,0,0,Undetermined
2,E7,0,0,Undetermined
2,E8,0,0,Undetermined
2,E9,0,0,Undetermined
2,E10,0,14.351,34.713
2,E11,0,25.618,33.527
2,E12,1,22.035,33.836
2,F1,0,6.55,36.318
2,F2,0,14.543,34.686
2,F3,0,5.529,36.664
2,F4,0,57.249,31.882
2,F5,0,112.212,30.505
2,F6,2,"1,081.69",25.869
2,F7,0,0,Undetermined
2,F8,0,2.284,38.473
2,F9,0,0,Undetermined
2,F10,0,41.996,32.516
2,F11,3,"16,434.83",20.302
2,F12,1,33.378,32.986
2,G1,2,"3,634.61",23.389
2,G2,0,9.731,35.508
2,G3,0,"1,001.69",26.026
2,G4,0,100.813,30.724
2,G5,0,191.061,29.416
2,G6,0,13.45,34.846
2,G7,0.5,238.928,28.959
2,G8,0,0,Undetermined
2,G9,0,37.865,32.728
2,G10,0.5,2.687,38.140
2,G11,0,58.872,31.825
2,G12,0,15.508,34.554
2,H1,0,36.085,32.826
2,H2,0,126.628,30.258
2,H3,0,"2,895.26",23.855
2,H4,0,26.316,33.472
2,H5,0,150.73,29.901
2,H6,0,18.174,34.230
3,A1,0,"1,249.95",25.573
3,A2,0,17.708,34.283
3,A3,3,"2,403.19",24.236
3,A4,0,280.379,28.631
3,A5,0,703.711,26.749
3,A6,0,3.765,37.451
3,A7,0,57.334,31.879
3,A8,0,1.398,39.477
3,A9,0,289.26,28.568
3,A10,0,1.749,39.019
3,A11,0.5,237.238,28.973
3,A12,0,9.698,35.515
3,B1,2,"2,140.12",24.473
3,B2,0,157.398,29.813
3,B3,3,"4,639.37",22.890
3,B4,0,254.732,28.828
3,B5,0,468.246,27.582
3,B6,0,102.953,30.681
3,B7,0,69.149,31.496
3,B8,1,747.436,26.625
3,B9,1,170.954,29.644
3,B10,0.5,0,Undetermined
3,B11,0.5,7.998,35.909
3,B12,0.5,21.467,33.889
3,C1,0,5.00,36.872
3,C2,NA,"5,614.51",22.500
3,C3,NA,804.569,26.475
3,C4,0,3.317,37.710
3,C5,3,"15,520.24",20.419
3,C6,0,"1,973.34",24.639
3,C7,2,"1,897.52",24.719
3,C8,2,"1,147.63",25.748
3,C9,2,"7,078.90",22.025
3,C10,0,13.348,34.861
3,C11,0,12.47,35.000
3,C12,0,3.23,37.764
3,D1,0,217.371,29.152
3,D2,0,93.308,30.883
3,D3,0,0.608,41.183
3,D4,0,0,Undetermined
3,D5,0,36.091,32.826
3,D6,0,58.506,31.838
3,D7,0,60.002,31.786
3,D8,0,5.923,36.523
3,D9,0,100.082,30.739
3,D10,0,58.488,31.838
3,D11,0,27.047,33.416
3,D12,0,14.259,34.726
3,E1,1,4.687,37.002
3,E2,0,23.984,33.662
3,E3,0,0,Undetermined
3,E4,1,4.211,37.222
3,E5,0.5,0.938,40.293
3,E6,0.5,9.999,35.452
3,E7,0.5,20.858,33.948
3,E8,2,58.153,31.850
3,E9,0,4.732,36.983
3,E10,0.5,880.285,26.291
3,E11,2,18.785,34.162
3,E12,3,439.336,27.713
3,F1,0,5.523,36.666
3,F2,0,2.946,37.953
3,F3,0,0,Undetermined
3,F4,0,3.039,37.889
3,F5,0.5,14.815,34.648
3,F6,0,10.992,35.258
3,F7,0,39.744,32.629
3,F8,0,51.344,32.105
3,F9,0,37.49,32.748
3,F10,0.5,7.995,35.910
3,F11,0,1.682,39.099
3,F12,0,66.487,31.576
3,G1,0,3.216,37.773
3,G2,0,7.25,36.110
3,G3,0,15.189,34.597
3,G4,0,0,Undetermined
3,G5,0,150.068,29.910
3,G6,0,12.972,34.920
3,G7,0,64.81,31.628
3,G8,2,"4,490.30",22.957
3,G9,0,89.367,30.971
3,G10,0,195.626,29.368
3,G11,3,"5,920.34",22.391
3,G12,0,173.316,29.616
3,H1,2,"2,205.48",24.411
3,H2,2,212.307,29.200
3,H3,0,114.197,30.469
3,H4,0,51.358,32.104
3,H5,1,39.113,32.661
3,H6,0,415.808,27.825
4,A1,0,0,Undetermined
4,A2,0,0,Undetermined
4,A3,3,"1,702.24",24.941
4,A4,0.5,1.355,39.542
4,A5,1,74.425,31.345
4,A6,3,"1,333.64",25.441
4,A7,0.5,0,Undetermined
4,A8,0,0,Undetermined
4,A9,0,0,Undetermined
4,A10,0.5,29.365,33.248
4,A11,0,0,Undetermined
4,A12,0,1.81,38.949
4,B1,0,0,Undetermined
4,B2,0.5,0,Undetermined
4,B3,1,5.404,36.711
4,B4,1,0,Undetermined
4,B5,1,9.895,35.473
4,B6,3,"22,398.91",19.669
4,B7,0,28.668,33.297
4,B8,2,93.26,30.884
4,B9,1,28.329,33.321
4,B10,0.5,4.033,37.310
4,B11,3,845.156,26.374
4,B12,1,18.765,34.164
4,C1,0,0,Undetermined
4,C2,0,0,Undetermined
4,C3,0,0.513,41.527
4,C4,0,8.479,35.789
4,C5,0.5,1.917,38.831
4,C6,0.5,0,Undetermined
4,C7,1,253.95,28.834
4,C8,0,1.665,39.119
4,C9,0,0,Undetermined
4,C10,0,0,Undetermined
4,C11,0,2.338,38.425
4,C12,0,6.255,36.412
4,D1,2,149.331,29.920
4,D2,0,0,Undetermined
4,D3,1,49.976,32.160
4,D4,0,5.024,36.860
4,D5,0.5,10.227,35.406
4,D6,1,12.878,34.934
4,D7,0.5,0,Undetermined
4,D8,1,162.412,29.749
4,D9,0.5,57.751,31.864
4,D10,0,0,Undetermined
4,D11,0,0,Undetermined
4,D12,0,13.537,34.832
4,E1,0,0,Undetermined
4,E2,2,299.988,28.493
4,E3,3,393.58,27.938
4,E4,0.5,2.383,38.386
4,E5,0.5,0,Undetermined
4,E6,0,0,Undetermined
4,E7,0,"22,324.49",19.676
4,E8,0,13.607,34.822
4,E9,2,729.873,26.674
4,E10,0,"1,958.10",24.655
4,E11,3,"2,280.33",24.343
4,E12,0,300.067,28.493
4,F1,2,63.807,31.660
4,F2,0.5,0,Undetermined
4,F3,0.5,25.749,33.517
4,F4,1,48.116,32.238
4,F5,1,11.948,35.088
4,F6,1,0,Undetermined
4,F7,0.5,0,Undetermined
4,F8,3,"4,796.27",22.822
4,F9,1,2.355,38.410
4,F10,1,3.238,37.759
4,F11,0.5,0.936,40.298
4,F12,2,968.157,26.096
4,G1,0,0,Undetermined
4,G2,0,36.386,32.809
4,G3,0,0,Undetermined
4,G4,0.5,13.728,34.804
4,G5,0,0,Undetermined
4,G6,0,1.599,39.202
4,G7,0,0,Undetermined
4,G8,0.5,2.31,38.450
4,G9,0,0,Undetermined
4,G10,0.5,14.052,34.756
4,G11,0.5,0,Undetermined
4,G12,0,0,Undetermined
4,H1,0,0,Undetermined
4,H2,0,0,Undetermined
4,H3,0.5,0,Undetermined
4,H4,0,0,Undetermined
